,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
62,Devil in a Blue Dress,8512,16140822,27000000,6.3,88.0,6.0,"['Drama', 'Mystery', 'Thriller']","['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']","[2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2]","['jazz club', 'murder', 'los angeles', 'private detective', 'film noir', 'neo-noir']",1995-09-15,9,2,0,11
63,Die Hard: With a Vengeance,1572,366101666,90000000,6.9,2094.0,7.0,"['Action', 'Thriller']","['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']","[2, 2, 2, 2, 1, 2, 0, 0, 1, 2, 1, 0, 0, 0, 2, 2, 2]","['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']",1995-05-19,9,3,5,17
64,First Knight,6520,127600435,55000000,5.9,319.0,6.0,"['Action', 'Adventure', 'Drama', 'Romance']","['Sean Connery', 'Richard Gere', 'Julia Ormond']","[2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0]","['camelot', 'knight', 'king arthur', 'excalibur', 'knights of the round table']",1995-07-07,9,2,5,16
65,Hackers,10428,7563728,20000000,6.2,406.0,6.0,"['Action', 'Crime', 'Thriller', 'Drama']","['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']","[2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0]","['female nudity', 'hacker', 'nudity', 'computer virus', 'virtual reality', 'computer', 'sexual fantasy', 'prank', 'internet', 'cyberpunk', 'teenager', 'new york city', 'secret service', 'computer hacker', 'dream sequence']",1995-09-14,14,2,5,21
66,Johnny Mnemonic,9886,19075720,25000000,5.5,380.0,5.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano']","[2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2]","['brain', 'childhood memory', 'dystopia', 'pharmaceutical industry', 'computer chip', 'courier', 'cyber', 'cyberpunk']",1995-05-26,11,3,7,21
67,Judge Dredd,9482,113493481,90000000,5.4,643.0,5.0,['Science Fiction'],"['Sylvester Stallone', 'Diane Lane', 'Armand Assante']","[2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","['judge', 'post-apocalyptic', 'dystopia', 'based on comic', 'police officer', 'based on graphic novel', 'frame up', 'dystopic future', 'framed for murder', 'gene', 'prosthetic limb', 'post holocaust', 'dna testing', 'dredd', '2000 ad']",1995-06-30,14,3,0,17
68,Kids,9344,7412216,1500000,6.8,280.0,7.0,"['Drama', 'Crime']","['Leo Fitzpatrick', 'Rosario Dawson', 'Chlo\xc3\xab Sevigny']","[2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]","['puberty', 'first time']",1995-07-28,4,2,10,16
69,Living in Oblivion,9071,1148752,500000,7.2,64.0,7.0,"['Drama', 'Comedy']","['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']","[2, 1, 2, 2, 2, 1, 1, 2, 2]","['cinema', 'independent film', 'filmmaker']",1995-01-20,6,3,0,9
70,Mallrats,2293,2122561,6000000,6.8,400.0,7.0,"['Romance', 'Comedy']","['Jason Lee', 'Jeremy London', 'Shannen Doherty']","[2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2]","['sex', 'game show', 'slacker', 'shopping', 'mall', 'ex-boyfriend ex-girlfriend relationship', 'jay and silent bob', 'silent man', 'coke', 'bandleader', 'aftercreditsstinger']",1995-10-20,13,5,0,18
71,Mighty Morphin Power Rangers: The Movie,9070,66000000,15000000,5.2,153.0,5.0,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","['Amy Jo Johnson', 'Jason David Frank', 'David Yost']","[1, 2, 2, 2, 2, 1, 2, 0, 0, 1, 2, 2]","['based on tv series', 'tokusatsu', 'superhero team', 'ethnic diversity', 'super sentai', 'power rangers', 'mighty morphin power rangers', 'mmpr']",1995-06-30,7,3,2,12
72,Mute Witness,48787,1,2,6.4,36.0,6.0,"['Thriller', 'Foreign']","['Marina Zudina', 'Fay Ripley', 'Evan Richards']","[0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2]","['chase', 'police', 'murder', 'mute', 'disk']",1995-09-28,8,0,5,13
73,The Net,1642,110627965,22000000,5.6,359.0,6.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']","[1, 2, 2, 1, 2, 0, 2, 0, 1, 2, 0, 2, 2, 0, 2, 0, 0, 2, 1, 2, 2]","['cheating', 'new identity', 'computer virus', 'chase', 'computer', 'stalking']",1995-07-28,11,4,6,21
74,Party Girl,36196,472370,150000,5.8,14.0,5.0,['Comedy'],"['Parker Posey', 'Liev Schreiber', 'Anthony DeSando']","[1, 2, 2, 2, 1, 0, 2, 2]","['library', 'party', 'independent film', 'free spirit', 'woman director', 'librarian']",1995-06-09,5,2,1,8
75,The Prophecy,11980,16,8,6.4,139.0,6.0,"['Fantasy', 'Horror', 'Thriller']","['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']","[2, 2, 1, 2, 2, 2, 1, 0, 0]","['angel', 'archangel gabriel', 'menschheit']",1995-09-01,5,2,2,9
76,The Scarlet Letter,10533,10382407,50000000,5.5,111.0,5.0,"['Drama', 'History', 'Romance']","['Demi Moore', 'Gary Oldman', 'Robert Duvall']","[1, 2, 2, 2, 2, 1, 2, 0, 1, 1, 0]","['based on novel', 'burning of witches', 'puritan', 'pregnancy', 'period drama', 'extramarital affair']",1995-10-13,5,4,2,11
77,Showgirls,10802,20350754,45000000,4.9,261.0,5.0,['Drama'],"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']","[1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 0, 1, 2]","['dancing', 'female nudity', 'go-go dancer', 'spanner', 'seduction', 'striptease', 'sexappeal']",1995-09-22,11,9,1,21
78,Smoke,10149,8349430,7000000,7.2,115.0,7.0,"['Comedy', 'Drama']","['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito']","[2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 1, 2]","['smoking', 'robber', 'cigarette', 'cigar', 'laden', 'independent film', 'writer']",1995-06-09,10,3,1,14
79,Species,9348,113374103,35000000,5.5,457.0,5.0,"['Science Fiction', 'Horror', 'Action']","['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']","[1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1]","['telepathy', 'dna', 'paranoia', 'genetics', 'instinct', 'femme fatale', 'alien', 'on the run', 'decapitation', 'sexual attraction', 'los angeles', 'cocoon', 'genetic engineering', 'scientists', 'alien dna']",1995-07-07,11,10,0,21
80,Strange Days,281,7959291,42000000,6.8,334.0,7.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']","['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore']","[2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2]","['pornography', 'prostitute', 'rape', 'police brutality', 'dream', 'ex-girlfriend', 'future', 'bodyguard', 'rapper', 'virtual reality', 'dystopia', 'minidisc', 'police', 'ex-cop', 'murder', 'cyberpunk', 'los angeles', 'violence', 'criminal', 'private detective', 'revolt', 'woman director']",1995-10-13,10,4,0,14
81,Under Siege 2: Dark Territory,3512,104324083,60000000,5.6,217.0,6.0,"['Action', 'Thriller']","['Steven Seagal', 'Eric Bogosian', 'Everett McGill']","[2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 1, 1]","['terrorist', 'pentagon', 'satellite', 'navy seal', 'train']",1995-07-13,8,3,1,12
82,A Walk in the Clouds,9560,50012507,20000000,6.5,168.0,6.0,"['Drama', 'Romance']","['Keanu Reeves', 'Aitana S\xc3\xa1nchez-Gij\xc3\xb3n', 'Anthony Quinn']","[2, 1, 2, 1, 1, 1, 2, 2]","['world war ii', 'vineyard', 'love', 'remake', 'pregnancy', 'harvest', 'grape', 'abandoned woman']",1995-08-11,4,4,0,8
83,Waterworld,9804,264218220,175000000,5.9,1017.0,6.0,"['Adventure', 'Action']","['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']","[2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 2, 2]","['ocean', 'tattoo', 'mutant', 'water', 'dystopia', 'doomsday']",1995-07-28,10,3,2,15
84,Burnt by the Sun,50797,2616503,2800000,6.7,35.0,6.0,['Drama'],"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkunaite']","[2, 2, 1, 2, 1, 0]","['wife husband relationship', 'colonel']",1994-05-01,3,2,1,6
85,Before Sunrise,76,5535405,2500000,7.7,984.0,8.0,"['Drama', 'Romance']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']","[2, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]","['dialogue', 'sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'danube', 'bittersweet', 'romantic', 'vienna']",1995-01-27,4,3,14,21
86,Billy Madison,11017,26488734,10000000,6.2,464.0,6.0,['Comedy'],"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson']","[2, 2, 0, 2, 2, 2, 2, 2, 1, 1, 2, 0, 0, 2, 2, 2, 1]",['woman director'],1995-02-10,11,3,3,17
87,Boys on the Side,9382,23450000,21000000,6.3,48.0,6.0,"['Comedy', 'Drama']","['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']","[1, 1, 1, 2, 2, 2]","['aids', 'roommate', 'homicide', 'car journey', 'friendship', 'friends', 'homosexuality', 'escape', 'road movie']",1995-02-03,3,3,0,6
88,Clerks,2292,3151130,27000,7.4,769.0,7.0,['Comedy'],"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes']","[2, 2, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0]","['salesclerk', 'loser', 'aftercreditsstinger']",1994-09-13,7,0,8,15
89,Don Juan DeMarco,1909,22200000,25000000,6.3,184.0,6.0,"['Romance', 'Drama', 'Comedy']","['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']","[2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0, 1, 2]","['sex addiction', 'love', 'mental institution', 'patient', 'psychiatrist', 'don juan']",1994-10-01,5,7,1,13
90,Disclosure,8984,214015089,55000000,5.9,217.0,6.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']","['Michael Douglas', 'Demi Moore', 'Donald Sutherland']","[2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2]","['employee', 'workplace', 'sexual harassment', 'intrigue']",1994-12-09,6,6,0,12
91,Dumb and Dumber,8467,247275374,16000000,6.5,1894.0,6.0,['Comedy'],"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']","[2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 0, 2, 0, 1, 2, 2, 2, 1, 1]","['gas station', 'motel', 'utah', 'stupidity', 'pill', 'prank', 'cigar smoking', 'violence', 'criminal', 'fired from the job', 'clumsiness', 'stepmother stepdaughter relationship', 'sitting on a toilet', 'aspen colorado', 'parakeet', 'defecation', 'scooter', 'hotel suite', 'endangered species', 'foolish', 'laxative']",1994-12-16,12,7,2,21
92,Ed Wood,522,5887457,18000000,7.3,639.0,7.0,"['Comedy', 'Drama', 'History']","['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']","[2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 1]","['individual', 'taxi', 'transsexuality', 'fortune teller', 'film business', 'film making', 'film producer', 'vororte', 'film maker', 'boxer', 'film director', 'oddball', 'celebrity', 'morphine', 'movie studio', 'los angeles', 'drug addict', 'cult director', 'theremin', 'handgun', 'trick or treating', 'actor', 'transvestite']",1994-09-27,15,4,2,21
93,Hideaway,27303,12201255,15000000,5.0,24.0,5.0,"['Drama', 'Thriller']","['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']","[2, 1, 0, 2, 2, 1, 0]",['suspense'],1995-03-03,3,2,2,7
94,Hoop Dreams,14275,7830611,700000,7.7,91.0,7.0,['Documentary'],"['William Gates', 'Arthur Agee', 'Steve James']","[2, 2, 2]","['chicago', 'sports team', 'ghetto', 'narration', 'college', 'sport', 'basketball', 'high school sports', 'independent film', 'inner city', 'high school student']",1994-09-12,3,0,0,3
95,Heavenly Creatures,1024,3049135,5000000,6.9,299.0,7.0,"['Drama', 'Fantasy']","['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']","[1, 1, 1, 2, 1, 2, 0, 0, 0, 2, 1, 1, 0, 2]","['mother', 'sex', 'secret', 'obsession', 'literature', 'nudity', 'fantasy', 'passion', 'love', 'friends', 'murder', 'independent film', 'lesbian', 'true', 'relationship']",1994-09-02,4,6,4,14
96,Interview with the Vampire,628,223664608,60000000,7.2,1558.0,7.0,"['Horror', 'Romance']","['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst']","[2, 2, 1, 2, 2, 2, 1, 1, 1, 0, 1, 2, 0, 2, 1]","['paris', 'san francisco', 'vampire', 'plantation', 'pity', 'bite', 'fang vamp']",1994-11-11,7,6,2,15
97,Jefferson in Paris,87729,2474000,14000000,5.2,10.0,5.0,"['Drama', 'Romance']","['Nick Nolte', 'Greta Scacchi', 'Thandie Newton']","[2, 1, 1, 1, 2, 2, 2, 0, 2, 1, 1, 2, 2, 0]","['france', 'revolution', 'biography', 'president', 'history']",1995-03-31,7,5,2,14
98,Junior,6280,37000000,60000000,4.7,381.0,5.0,"['Comedy', 'Family', 'Romance']","['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']","[2, 2, 1, 2, 1, 0, 2, 1, 1, 2, 0, 2, 1, 0, 0, 0, 2, 0, 1, 1, 1]","['baby', 'medicine', 'media', 'pregnancy', 'scientist', 'science', 'male pregnancy', 'fertility', 'gynaecology', 'ceasarean birth']",1994-11-22,7,8,6,21
99,Star Wars,11,775398007,11000000,8.1,6778.0,8.0,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']",1977-05-25,18,2,1,21
100,Like Water for Chocolate,18183,21665468,2000000,6.6,70.0,6.0,"['Drama', 'Romance']","['Marco Leonardi', 'Lumi Cavazos', 'Regina Torn\xc3\xa9']","[2, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 0, 0, 2, 0]","['chocolate', 'jealousy', 'sister sister relationship', 'cooking', 'mexican revolution', 'marriage', 'wedding', 'single mother', 'recipe', 'magic realism', 'new mexican cinema', 'new latin american cinema']",1992-04-16,4,6,5,15
101,Legends of the Fall,4476,160638883,30000000,7.2,636.0,7.0,"['Adventure', 'Drama', 'Romance', 'War']","['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']","[2, 2, 2, 1, 0, 1, 2, 2, 2, 0, 1, 0, 1, 0, 2, 0, 2, 2, 2, 2, 0]","['brother brother relationship', 'montana', 'based on novel', 'world war i', 'journey round the world']",1994-12-16,11,4,6,21
102,Losing Isaiah,28313,7603766,17000000,6.4,28.0,6.0,['Drama'],"['Jessica Lange', 'Halle Berry', 'David Strathairn']","[1, 1, 2, 2, 2, 1, 2, 1, 1, 0]","['mother', 'child abuse', 'single parent', 'based on novel', 'smoking', 'baby', 'social work', 'drug addiction', 'adoption', 'liberation', 'social worker', 'self-abandonment', 'court case', 'custody battle', 'son', 'looking for  birth parents', 'surrogate mother', 'racist', 'interracial relationship', 'extramarital affair']",1995-03-17,4,5,1,10
103,Mary Shelley's Frankenstein,3036,112006296,45000000,6.1,272.0,6.0,"['Drama', 'Horror', 'Science Fiction', 'Romance']","['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce']","[2, 2, 2, 1, 2, 2, 2, 0, 2, 1, 1, 0, 2, 2, 0, 2, 1, 0, 2, 2]","['human experimentation', 'frankenstein', 'remake']",1994-11-04,12,4,4,20
104,Nell,1945,106683817,31000000,6.1,128.0,6.0,"['Drama', 'Thriller']","['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']","[1, 2, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['loss of mother', 'loss of sister', 'twin sister', 'autism', 'lake', 'kaspar-hauser-syndrom', 'feral child', 'forest', 'north carolina', 'psychologist', 'family']",1994-12-23,7,2,12,21
105,Natural Born Killers,241,50282766,34000000,6.9,927.0,7.0,"['Crime', 'Thriller', 'Drama']","['Woody Harrelson', 'Juliette Lewis', 'Robert Downey Jr.']","[2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0]","['sadistic', 'journalist', 'mass murder', 'yellow press', 'trauma', 'daughter', 'satire', 'controversy', 'controversial', 'violence', 'young couple', 'abuse']",1994-08-25,14,5,2,21
106,Outbreak,6950,189859560,50000000,6.4,522.0,6.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","['river', 'general', 'research', 'army', 'serum', 'monkey', 'epidemic', 'medical research']",1995-03-10,12,2,0,14
107,Leon: The Professional,101,45284974,16000000,8.2,4293.0,8.0,"['Thriller', 'Crime', 'Drama']","['Jean Reno', 'Natalie Portman', 'Gary Oldman']","[2, 1, 2, 2, 2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 2, 1, 2, 2]","['new york', 'corruption', 'assassin', 'police brutality', 'loss of family', 's.w.a.t.', 'immigrant', 'hitman', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'cult film', 'neo-noir', 'complex relationship', 'complex characters']",1994-09-14,14,3,4,21
108,The Perez Family,63020,2832826,11000000,6.6,9.0,6.0,"['Comedy', 'Drama', 'Romance']","['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston']","[1, 2, 1, 2, 1, 2, 2]","['immigration', 'independent film', 'woman director', 'political prisoner', 'cuban refugees']",1995-05-12,4,3,0,7
109,Pulp Fiction,680,213928762,8000000,8.3,8670.0,8.0,"['Thriller', 'Crime']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']","[2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2]","['transporter', 'brothel', 'drug dealer', 'boxer', 'massage', 'stolen money', 'crime boss', 'dance contest', 'junkyard', 'kamikaze', 'ambiguous ending', 'briefcase', 'redemption', 'heirloom', 'pulp fiction', 'reference to al green', 'theft', 'brutality']",1994-09-10,14,5,2,21
110,The Quick and the Dead,12106,18552460,32000000,6.2,431.0,6.0,"['Action', 'Western']","['Sharon Stone', 'Gene Hackman', 'Russell Crowe']","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2]","['gunslinger', 'revenge', 'prairie', 'shootout', 'pistol']",1995-02-09,13,3,0,16
111,Roommates,161495,12400000,22000000,6.4,7.0,5.0,"['Drama', 'Comedy']","['Peter Falk', 'D. B. Sweeney', 'Julianne Moore']","[2, 2, 1, 1, 2, 2]","['grandfather grandson relationship', 'roommate', 'birthday', 'funeral', 'vegetarian', 'orphan', 'deathbed']",1995-03-01,4,2,0,6
112,Prêt-à-Porter,3586,11300653,15000000,5.3,33.0,5.0,"['Drama', 'Comedy']","['Marcello Mastroianni', 'Sophia Loren', 'Jean-Pierre Cassel']","[2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 0, 0, 1, 2, 2, 1, 1, 2, 1, 2, 0]","['paris', 'hotel room', 'suspicion of murder', 'mannequin', 'fashion photographer', 'sandwich', 'poodle', 'reporter', 'fashion']",1994-12-23,8,10,3,21
113,The Swan Princess,22586,9771658,35000000,6.5,251.0,6.0,['Animation'],"['Michelle Nicastro', 'Jack Palance', 'Howard McGillin']","[1, 2, 2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2]","['princess', 'swan']",1994-11-18,8,2,3,13
114,The Specialist,2636,170362582,45000000,5.5,317.0,5.0,"['Action', 'Thriller']","['Sylvester Stallone', 'Sharon Stone', 'James Woods']","[2, 1, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0]","['explosive', 'revenge', 'explosives expert']",1994-10-07,4,2,6,12
115,Stargate,2164,196567262,55000000,6.8,942.0,7.0,"['Action', 'Adventure', 'Science Fiction']","['Kurt Russell', 'James Spader', 'Jaye Davidson']","[2, 2, 2, 1, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0]","['space travel', 'teleportation', 'uprising', 'shot to death', 'androgyny', 'space western', 'outer space', 'timebomb', 'death of son', 'nuclear weapons', 'invented language', 'hieroglyph', 'egyptian mythology', 'egyptology']",1994-10-27,10,2,3,15
116,The Santa Clause,11395,189833357,22000000,6.3,501.0,6.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Tim Allen', 'Judge Reinhold', 'Wendy Crewson']","[2, 2, 1, 2, 2, 2, 1, 2, 1, 0, 0]","['holiday', 'christmas party', 'santa claus', 'deal', 'christmas tree', 'christmas']",1994-11-10,6,3,2,11
117,The Shawshank Redemption,278,28341469,25000000,8.5,8358.0,8.0,"['Drama', 'Crime']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']","[2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2]","['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'escape from prison', 'wrongful imprisonment', 'framed for murder', '1940s']",1994-09-23,15,0,6,21
118,Tank Girl,9067,4064495,25000000,5.5,140.0,5.0,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']","['Lori Petty', 'Ice-T', 'Naomi Watts']","[1, 2, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 2, 2, 0, 2, 0]","['destroy', 'dystopia', 'reincarnation', 'desert', 'artial arts', 'woman director']",1995-03-31,12,5,4,21
119,Star Trek: Generations,193,120000000,38000000,6.4,461.0,6.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']","[2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 0, 1, 2]","['based on tv series', 'death', 'exploding planet', 'mountain cabin', 'solar system']",1994-11-17,12,4,1,17
120,Tales from the Hood,25066,12000000,6000000,5.4,33.0,5.0,"['Crime', 'Horror', 'Thriller']","['Clarence Williams III', 'Corbin Bernsen', 'David Alan Grier']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2]","['prison', 'child abuse', 'ku klux klan', 'police brutality', 'ghetto', 'anthology', 'evil doll', 'murder', 'hood', 'dirty cop', 'funeral home']",1995-05-24,17,2,2,21
121,What's Eating Gilbert Grape,1587,10032765,11000000,7.5,943.0,7.0,"['Romance', 'Drama']","['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis']","[2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 0, 0, 2, 1, 0, 0, 0, 2, 2, 1, 0]","['brother brother relationship', 'mentally disabled', 'iowa', 'widow', 'dysfunctional family', 'independent film']",1993-12-17,8,7,6,21
122,Virtuosity,9271,24048000,30000000,5.4,163.0,5.0,"['Action', 'Crime', 'Science Fiction', 'Thriller']","['Denzel Washington', 'Russell Crowe', 'Kelly Lynch']","[2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1]","['artificial intelligence', 'android', 'hologram', 'computer program', 'virtual reality', 'ex-cop', 'visual effect', 'police training']",1995-08-04,5,6,0,11
123,While You Were Sleeping,2064,182057016,17000000,6.5,340.0,6.0,"['Comedy', 'Drama', 'Romance']","['Sandra Bullock', 'Bill Pullman', 'Peter Gallagher']","[1, 2, 2, 2, 2, 1, 1, 1, 1, 1]","['brother brother relationship', 'chicago', 'coma', 'subway', ""love of one's life"", 'brother', ""man of one's dreams"", 'hospital']",1995-04-21,4,6,0,10
124,Muriel's Wedding,236,15119639,3000000,6.9,104.0,6.0,"['Drama', 'Comedy', 'Romance']","['Toni Collette', 'Bill Hunter', 'Rachel Griffiths']","[1, 2, 1, 1, 1, 0, 1, 1, 2, 0, 1, 2, 2, 2]","['individual', 'becoming an adult', 'dream', 'return', ""love of one's life"", 'overweight', 'province', 'bathing', 'olympic games', 'empowerment', 'boredom', 'daughter', 'friendship']",1994-09-29,5,7,2,14
